Name	Conc
21m-94-27F	22.67
6m-05-27F	4.9
6m-16-27F	1.988
6m-10-27F	26.36
21m-32-27F	60.4875
6m-09-27F	7.5625
6m-44-27F	6.95
6m-06-27F	17.6875
6m-80-27F	8.0735
21m-90-27F	1.77
6m-70-27F	1.99875
6m-89-27F	28.85
6m-22-27F	19
6m-69-27F	8.625
6m-50-27F	47.825
6m-94-27F	59.775
21m-25-27F	19.5
21m-29-27F	38.7875
21m-05-27F	10.3375
6m-86-27F	0.60475
21m-87-27F	36.2
6m-04-27F	3.657
21m-54-27F	30
6m-20-27F	17.175
6m-40-27F	26.8625
6m-81-27F	40.2875
6m-13-27F	26.1625
6m-52-27F	1.2065
6m-75-27F	16.675
6m-82-27F	22.675
21m-68-27F	13.875
6m-19-27F	8.85
6m-87-27F	0.8125

